Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,alternative term,antisymmetric property,BFO CLIF specification label,BFO OWL specification label,curator note,definition,definition source,disposition of at all times,editor note,editor preferred term,elucidation,example of usage,expand assertion to,expand expression to,first order logic expression,has associated axiom(fol),has associated axiom(nl),has axiom label,has continuant part at all times,has curation status,has disposition at some time,has ID digit count,has ID policy for,has ID prefix,has ID range allocated to,has obsolescence reason,has occurrent part,has ontology root term,has participant at all times,has participant at some time,has proper continuant part at all times,has proper occurrent part,http://attempto.ifi.uzh.ch/ace_lexicon#CN_pl,http://attempto.ifi.uzh.ch/ace_lexicon#CN_sg,http://attempto.ifi.uzh.ch/ace_lexicon#TV_pl,http://attempto.ifi.uzh.ch/ace_lexicon#TV_sg,http://attempto.ifi.uzh.ch/ace_lexicon#TV_vbg,http://data.bioontology.org/metadata/prefixIRI,http://protege.stanford.edu/plugins/owl/protege#defaultLanguage,http://purl.obolibrary.org/obo/MF#isAbout,http://purl.org/dc/elements/1.1/contributor,http://purl.org/dc/elements/1.1/coverage,http://purl.org/dc/elements/1.1/creator,http://purl.org/dc/elements/1.1/date,http://purl.org/dc/elements/1.1/description,http://purl.org/dc/elements/1.1/format,http://purl.org/dc/elements/1.1/identifier,http://purl.org/dc/elements/1.1/language,http://purl.org/dc/elements/1.1/license,http://purl.org/dc/elements/1.1/member,http://purl.org/dc/elements/1.1/publisher,http://purl.org/dc/elements/1.1/relation,http://purl.org/dc/elements/1.1/rights,http://purl.org/dc/elements/1.1/source,http://purl.org/dc/elements/1.1/subject,http://purl.org/dc/elements/1.1/title,http://purl.org/dc/elements/1.1/type,http://purl.org/dc/terms/license,http://www.geneontology.org/formats/oboInOwl#created_by,http://www.geneontology.org/formats/oboInOwl#creation_date,http://www.geneontology.org/formats/oboInOwl#hasAlternativeId,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://xmlns.com/foaf/0.1/homepage,http://xmlns.com/foaf/0.1/mbox,imported from,in branch,inheres in at all times,is allocated id range,is denotator type,material basis of at all times,may be identical to,OBO foundry unique label,ontology term requester,part of continuant at some time,part of occurrent,participates in at some time,realized in,realizes,scheduled for obsoletion on or after,term editor,term replaced by,term tracker item
http://purl.obolibrary.org/obo/GO_0046960,sensitization,,"An increased in a behavioral response to a repeated stimulus. For example, a shock to the tail of the marine snail Aplysia, to which the snail responds by withdrawing its gill, will result in increased gill withdrawal the next time the skin is touched.",false,,,http://purl.obolibrary.org/obo/GO_0046958,,,,,,"An increased in a behavioral response to a repeated stimulus. For example, a shock to the tail of the marine snail Aplysia, to which the snail responds by withdrawing its gill, will result in increased gill withdrawal the next time the skin is touched.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO:0046960,,,,,,,,,,,,,,,,,,,,,,,,,,sensitization,,,,http://purl.obolibrary.org/obo/go.owl,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/MF_0000065,openness to experience,,"A personality trait manifesting itself in individual behavioral characteristics that are perceived as revealing, curiosity, an appreciation of novelty and variety of experiences and ideas, invention, and unpredictability.|Associated adjectives: artistic, curious, imaginative, insightful, original, and wide interests.",false,,,http://purl.obolibrary.org/obo/MF_0000203,,,,,,"A personality trait manifesting itself in individual behavioral characteristics that are perceived as revealing, curiosity, an appreciation of novelty and variety of experiences and ideas, invention, and unpredictability.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MF:0000065,,,,,,,,,,,,,,,,,,,,,,,http://www.github.com/no/ontologies/2017/PAO/OpennessToExperience,"Associated adjectives: artistic, curious, imaginative, insightful, original, and wide interests.",,openness to experience,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/GO_0044358,envenomation resulting in hemorrhagic damage to other organism,,"A process that begins with venom being forced into an organism by the bite or sting of another organism, and ends with vascular damage and hemorrhage in the bitten organism.",false,,,http://purl.obolibrary.org/obo/GO_0035738,,,,,,"A process that begins with venom being forced into an organism by the bite or sting of another organism, and ends with vascular damage and hemorrhage in the bitten organism.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO:0044358,,,,,,,,,,,,,,,,,,,,,,,,,,envenomation resulting in hemorrhagic damage to other organism,,,,http://purl.obolibrary.org/obo/go.owl,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/IAO_8000008,analysis subset ontology module,,An ontology module that is intended for usage in analysis or discovery applications.|An ontology module that is intended for usage in analysis or discovery applications.,false,,,http://purl.obolibrary.org/obo/IAO_8000006,,,,,,An ontology module that is intended for usage in analysis or discovery applications.|An ontology module that is intended for usage in analysis or discovery applications.,,,,analysis ontology module,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAO:8000008,,,,,,,,,,,,,,,,,,,,,cjm,2018-05-20T20:58:49Z,,,,analysis subset ontology module|analysis subset ontology module,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/GO_0002211,behavioral defense response to insect,,A behavioral response seeking to protect an organism from an a perceived external threat from an insect or insects to that organism.,false,,,http://purl.obolibrary.org/obo/GO_0051705|http://purl.obolibrary.org/obo/GO_0002209,,,,,,A behavioral response seeking to protect an organism from an a perceived external threat from an insect or insects to that organism.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO:0002211,,,,,,,,,,,,,,,,,,,,,,,,,,behavioral defense response to insect,,,,http://purl.obolibrary.org/obo/go.owl,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/IAO_8000020,EL++ ontology module,,,false,,,http://purl.obolibrary.org/obo/IAO_8000019,,,,,,,,,,EL++ ontology module,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAO:8000020,,,,,,,,,,,,,,,,,,,,,cjm,2018-05-22T04:16:48Z,,,,EL++ ontology module|EL++ ontology module,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/GO_0035187,hatching behavior,,"The specific behavior of an organism during the emergence from an egg shell. In Drosophila for example, the larva swings its head reiteratively through a semicircular arc, using its mouth hooks to tear apart the chorion in front of it and thus free itself from within the egg shell.",false,,,http://purl.obolibrary.org/obo/GO_0007610,,,,,,"The specific behavior of an organism during the emergence from an egg shell. In Drosophila for example, the larva swings its head reiteratively through a semicircular arc, using its mouth hooks to tear apart the chorion in front of it and thus free itself from within the egg shell.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO:0035187,,,,,,,,,,,,,,,,,,,,,,,,,,hatching behavior,,,,http://purl.obolibrary.org/obo/go.owl,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/MF_0000050,linguistic capability,,A mental capability that is realised in processes of communication involving language or in expressions of language.,false,,,http://purl.obolibrary.org/obo/MF_0000048,,,,,,A mental capability that is realised in processes of communication involving language or in expressions of language.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MF:0000050,,,,,,,,,,,,,,,,,,,,,,,,,,linguistic capability,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/GO_0044551,envenomation resulting in vasodilation in other organism,,"A process that begins with venom being forced into an organism by the bite or sting of another organism, and ends with resultant vasodilation of blood vessels, usually causing a reduction in blood pressure, in the bitten/stung organism.",false,,,http://purl.obolibrary.org/obo/GO_0044500,,,,,,"A process that begins with venom being forced into an organism by the bite or sting of another organism, and ends with resultant vasodilation of blood vessels, usually causing a reduction in blood pressure, in the bitten/stung organism.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO:0044551,,,,,,,,,,,,,,,,,,,,,,,,,,envenomation resulting in vasodilation in other organism,,,,http://purl.obolibrary.org/obo/go.owl,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/GO_0030536,larval feeding behavior,,Feeding behavior in a larval (immature) organism.,false,,,http://purl.obolibrary.org/obo/GO_0030537|http://purl.obolibrary.org/obo/GO_0007631,,,,,,Feeding behavior in a larval (immature) organism.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO:0030536,,,,,,,,,,,,,,,,,,,,,,,,,,larval feeding behavior,,,,http://purl.obolibrary.org/obo/go.owl,,,,,,,,,,,,,,,,,
